,Datetime,Tweet Id,Text,Username
0,2021-11-30 23:59:59+00:00,1465833017730117636,"THE ""TV CUOMO BROTHER"" LIED ABOUT GETTING COVID EARLY IN PANDEMIC! NO CONCEQUENCES! STILL ON THE AIR! ""MEDIA IS FAKE!""",vlac
1,2021-11-30 23:59:58+00:00,1465833011270852609,"@WOLF_Financial Back when I was coaching youth robotics there weren't many charities dedicated exclusively to supporting teams, so we started our own 501c3.

Our teams lost a season to Covid, but we're back on the mend and the next school year should be awesome!",miamimikeclark
2,2021-11-30 23:59:58+00:00,1465833010129997828,@_Skippp__ lmaooo bitch we broke up the fall before covid. that ain’t 8 years but go off sis. lol you just be dramatic at times is all😂😂,YouuLoveeMe_
3,2021-11-30 23:59:58+00:00,1465833009614053384,COVID is not Polio. https://t.co/Hp6nWHTYVZ,chadfelixg
4,2021-11-30 23:59:57+00:00,1465833006611021826,@waltergross Well I’ve been first hand watching covid kill people for 20 mos and find the vaccine a life saver. Just like many vaccines in the past. I’m so personally grateful for them.,drrmalla
5,2021-11-30 23:59:57+00:00,1465833005826592775,"@HostilGanso @raush_mary @CharlieCrist I think conspiracy already hit you ..but hey you want more dead from the COVID, keep spreading disinformation.",Soblue57906956
6,2021-11-30 23:59:56+00:00,1465833005100896256,"@JesseSpots @birbigs @CityHarvest Here’s a *story* about the term “food insecurity” (which was coined by Kissinger in the 1970’s). 

The STORY is from 2017. 

“Rolled out during COVID”, eh?

https://t.co/uUI7YnkL7Q",jerrythebastard
7,2021-11-30 23:59:56+00:00,1465833002940854273,remember when we weren’t allowed to sit at the beach bc covid,ariannahh_
8,2021-11-30 23:59:56+00:00,1465833001976315907,@ItsMikeSpence @huffmsa @saltguy66 @mtracey Please Don’t compare a covid analyst to a film editor. One actually has talent and is a crucial part of the creative film process.,greatworkdude
9,2021-11-30 23:59:56+00:00,1465833001774899201,"@RepJohnRose What is your Covid protocol?

Have you all been vaccinated?",john_jspoteettn
10,2021-11-30 23:59:56+00:00,1465833001451982848,@LnxVert @TheRealRalphC @LakersReporter Pray for LeBron 🙏. He's immunocompromised. So old he can't fight COVID even with a vaccine.,LeGoat03824702
11,2021-11-30 23:59:55+00:00,1465833000889774080,"@BJNTTWM @Daystar This was entirely avoidable. Sad this mentality of no don’t want or need the vaccine, COVID isn’t that bad, resulting in a person’s life lost needlessly, family destroyed by a preventable solution. These people owe it to their viewers, friends and family to get the damn vaccine.",DpedronWestie
12,2021-11-30 23:59:55+00:00,1465832998750859273,@the_magrathean @paul_woodcraft I know right. Everyone should be cautiously celebrating this. Not going into mental covid panic again.,HenryB12345
13,2021-11-30 23:59:54+00:00,1465832994808254464,FOX Nation’s Lara Logan Argues Against Testing For Covid-19 Coronavirus Variants https://t.co/7O1sDbQ7WS https://t.co/8ZqFEo1Ky9,ForbesScience
14,2021-11-30 23:59:54+00:00,1465832993092775940,"@ChrisCillizza The disconnect between leftist opinion writers like you and regular Americans is striking.

You are currently fixated on scaremongering on COVID. Regular Americans are watching Smollett to see if justice will hold a black racist accountable. Get a grip.",JayThickhead1
15,2021-11-30 23:59:53+00:00,1465832990777434114,"Covid is endemic and everyone is basically going to get it. Logically this process began with vaccines. Yet here we suddenly are with rules coming back and the lockdown fanatics screaming for more. Under their logic , this only ends when Covid ends. And it never will.",theNewsfox
16,2021-11-30 23:59:53+00:00,1465832990370676738,‘Horrific and disturbing’: Hospitalized patients at Jesse Brown VA Medical Center contract COVID-19 https://t.co/RXQteDb0Pu via @SunTimes,ChocoNCAmy
17,2021-11-30 23:59:52+00:00,1465832985983344644,"@Billius27 France, like other countries, extended COVID-19 booster shots to 18+ five months after the second dose. In Canada? Zero, zilch, nothing. 3rd dose is forbidden and banned like an illegal substance. Crazy.  https://t.co/WTBCt6yMYw",LaurenK86521270
18,2021-11-30 23:59:52+00:00,1465832985337417734,"@Julius_Kim @auntmaggiep I'd tweak your message to: ""We can't get back to normal until we get a grip on COVID. That won't happen until we all stay masked until the vaccination rate is over 90%. Republicans, how are you planning to help us achieve that?""",GolfSoBad
19,2021-11-30 23:59:51+00:00,1465832983047385100,"instead of giving them unemployment benefits, why don't they just pay for their hospital bill when they contract Covid?

Here are all the states providing unemployment benefits for people who quit or were fired because they refused to get vaccinated https://t.co/vp4uy9tCrk",pat_ximenes
20,2021-11-30 23:59:51+00:00,1465832980635701261,"@Ayyo_Bvndo @JohnKluppy @BillyReinhardt Caronaviruses have always existed, and scientists for as long as I know, have studied them in anticipation of preventing a pandemic such as COVID-19. ""Man made"" is a reach/leap.",SadNetsSaveUsBG
21,2021-11-30 23:59:50+00:00,1465832978974752768,I need to discuss how this covid booster had me fatigued for like 3 days no lie. The scientist in me is intrigued and individual body responses to this vaccine. My brother and I literally slept two days straight. My mom and my grandma? Not a care in the world lmao they were fine,BlowTheWhittle
22,2021-11-30 23:59:50+00:00,1465832978228125700,"@thehill So, let me get this straight!! The whole F'ng word is joining in with Biden and conspiring to protect Biden by sending out a new dangerous Covid variant to distract American voters...You dumb asses? Or is this exclusively to gaslight your ignorant viewers and GOP voters?",harold4u2
23,2021-11-30 23:59:50+00:00,1465832977204613126,COVID-19: Eight further cases of new Omicron variant identified in England - bringing UK total to 22 | UK News | Sky News https://t.co/2yGE5u7twg,macdonald_julie
24,2021-11-30 23:59:49+00:00,1465832975262785541,@ZealouslyQuoted Why is her account still active? I got thrown into @Twitter jail for using the phrase “Covid idiots” against Covid deniers/anti vaxxers!,xDharmaPunkx
25,2021-11-30 23:59:48+00:00,1465832971353559044,@Ralph_MasonJr I hope its not covid 😢🥺,pikachi25
26,2021-11-30 23:59:48+00:00,1465832971001204740,so many new covid flavors and I still haven’t tried any,SanAngelo21
